Date,Currency,FX_to_Report_Ccy
2021-03-31,EUR,1.0
2021-03-31,JPY,0.007733354101618274
2021-03-31,USD,0.8529800074676098
2021-04-01,EUR,1.0
2021-04-01,JPY,0.00769994828007152
2021-04-01,USD,0.8525999364153719
2021-04-02,EUR,1.0
2021-04-02,JPY,0.007676364222023748
2021-04-02,USD,0.8489000619121859
2021-04-05,EUR,1.0
2021-04-05,JPY,0.007679901301268433
2021-04-05,USD,0.849750006432429
2021-04-06,EUR,1.0
2021-04-06,JPY,0.007679783406108625
2021-04-06,USD,0.8460999465325377
2021-04-07,EUR,1.0
2021-04-07,JPY,0.00767077020567791
2021-04-07,USD,0.8421599616497629
2021-04-08,EUR,1.0
2021-04-08,JPY,0.007667535761690518
2021-04-08,USD,0.8421999543791223
2021-04-09,EUR,1.0
2021-04-09,JPY,0.007676599806046845
2021-04-09,USD,0.8392299772669998
2021-04-12,EUR,1.0
2021-04-12,JPY,0.007662248426097523
2021-04-12,USD,0.8402999817787925
2021-04-13,EUR,1.0
2021-04-13,JPY,0.0076750678694718485
2021-04-13,USD,0.8393000056929791
2021-04-14,EUR,1.0
2021-04-14,JPY,0.007680609648390841
2021-04-14,USD,0.8365300599469757
2021-04-15,EUR,1.0
2021-04-15,JPY,0.007663657848361638
2021-04-15,USD,0.8343000155350759
2021-04-16,EUR,1.0
2021-04-16,JPY,0.007686631821759656
2021-04-16,USD,0.8352999996315705
2021-04-19,EUR,1.0
2021-04-19,JPY,0.007685095879005708
2021-04-19,USD,0.835459976619174
2021-04-20,EUR,1.0
2021-04-20,JPY,0.007682851658455416
2021-04-20,USD,0.8301999876884367
2021-04-21,EUR,1.0
2021-04-21,JPY,0.007685804283367592
2021-04-21,USD,0.8310899428166755
2021-04-22,EUR,1.0
2021-04-22,JPY,0.007689055063752422
2021-04-22,USD,0.830719993281836
2021-04-23,EUR,1.0
2021-04-23,JPY,0.0077086738577903996
2021-04-23,USD,0.8323100207506797
2021-04-26,EUR,1.0
2021-04-26,JPY,0.007667653281111173
2021-04-26,USD,0.8271399783645804
2021-04-27,EUR,1.0
2021-04-27,JPY,0.007650992576659943
2021-04-27,USD,0.827700010291232
2021-04-28,EUR,1.0
2021-04-28,JPY,0.007605430241913631
2021-04-28,USD,0.8271089873746843
2021-04-29,EUR,1.0
2021-04-29,JPY,0.007594168101620204
2021-04-29,USD,0.82399996070862
2021-04-30,EUR,1.0
2021-04-30,JPY,0.007572832002980323
2021-04-30,USD,0.8246000026344394
2021-05-03,EUR,1.0
2021-05-03,JPY,0.007609770733826857
2021-05-03,USD,0.8314099534204321
2021-05-04,EUR,1.0
2021-05-04,JPY,0.007603406079035467
2021-05-04,USD,0.829099971851388
2021-05-05,EUR,1.0
2021-05-05,JPY,0.007613073353197768
2021-05-05,USD,0.8322899540418351
2021-05-06,EUR,1.0
2021-05-06,JPY,0.007625206043804212
2021-05-06,USD,0.8327800069452869
2021-05-07,EUR,1.0
2021-05-07,JPY,0.007602250654101424
2021-05-07,USD,0.8285999976491117
2021-05-10,EUR,1.0
2021-05-10,JPY,0.0075679601924554816
2021-05-10,USD,0.8216200079158936
2021-05-11,EUR,1.0
2021-05-11,JPY,0.007567559078830742
2021-05-11,USD,0.8236599901497876
2021-05-12,EUR,1.0
2021-05-12,JPY,0.007574380296625474
2021-05-12,USD,0.8234180069879445
2021-05-13,EUR,1.0
2021-05-13,JPY,0.0075501895323838684
2021-05-13,USD,0.8279169794076994
2021-05-14,EUR,1.0
2021-05-14,JPY,0.007560751008142436
2021-05-14,USD,0.82800000671196
2021-05-17,EUR,1.0
2021-05-17,JPY,0.007522416539582791
2021-05-17,USD,0.8230199700327849
2021-05-18,EUR,1.0
2021-05-18,JPY,0.007530460353624609
2021-05-18,USD,0.8225799682366725
2021-05-19,EUR,1.0
2021-05-19,JPY,0.007515236943370942
2021-05-19,USD,0.8180630202242353
2021-05-20,EUR,1.0
2021-05-20,JPY,0.00751958895606268
2021-05-20,USD,0.8215000396618266
2021-05-21,EUR,1.0
2021-05-21,JPY,0.007514333887712672
2021-05-21,USD,0.8179700095500926
2021-05-24,EUR,1.0
2021-05-24,JPY,0.007536931377767064
2021-05-24,USD,0.8207999989041138
2021-05-25,EUR,1.0
2021-05-25,JPY,0.007523322402765684
2021-05-25,USD,0.8186899977055309
2021-05-26,EUR,1.0
2021-05-26,JPY,0.0075054794260122305
2021-05-26,USD,0.8163869728564194
2021-05-27,EUR,1.0
2021-05-27,JPY,0.007513034833422046
2021-05-27,USD,0.8201699470760832
2021-05-28,EUR,1.0
2021-05-28,JPY,0.00746892922706338
2021-05-28,USD,0.8201300146220499
2021-05-31,EUR,1.0
2021-05-31,JPY,0.0074644689977262394
2021-05-31,USD,0.8203399841772306
2021-06-01,EUR,1.0
2021-06-01,JPY,0.007466085566061573
2021-06-01,USD,0.8174699812535405
2021-06-02,EUR,1.0
2021-06-02,JPY,0.007475573720283095
2021-06-02,USD,0.8184799933808228
2021-06-03,EUR,1.0
2021-06-03,JPY,0.007473283149580153
2021-06-03,USD,0.8190100440571645
2021-06-04,EUR,1.0
2021-06-04,JPY,0.00747646748319603
2021-06-04,USD,0.8241979881122872
2021-06-07,EUR,1.0
2021-06-07,JPY,0.007498500265621466
2021-06-07,USD,0.8217999857557157
2021-06-08,EUR,1.0
2021-06-08,JPY,0.0075086353431062305
2021-06-08,USD,0.8201000277452931
2021-06-09,EUR,1.0
2021-06-09,JPY,0.007504803012090066
2021-06-09,USD,0.8215000396618266
2021-06-10,EUR,1.0
2021-06-10,JPY,0.007491085361521224
2021-06-10,USD,0.8208829704180622
2021-06-11,EUR,1.0
2021-06-11,JPY,0.007508973450137041
2021-06-11,USD,0.8215199917109666
2021-06-14,EUR,1.0
2021-06-14,JPY,0.007527059558593821
2021-06-14,USD,0.8257499550880889
2021-06-15,EUR,1.0
2021-06-15,JPY,0.007496701547407235
2021-06-15,USD,0.8249300414047891
2021-06-16,EUR,1.0
2021-06-16,JPY,0.00749226462775611
2021-06-16,USD,0.8246000026344394
2021-06-17,EUR,1.0
2021-06-17,JPY,0.007526380113892543
2021-06-17,USD,0.8336399630036967
2021-06-18,EUR,1.0
2021-06-18,JPY,0.00760896054488777
2021-06-18,USD,0.8393899514253785
2021-06-21,EUR,1.0
2021-06-21,JPY,0.007644675626204104
2021-06-21,USD,0.8421999543791223
2021-06-22,EUR,1.0
2021-06-22,JPY,0.007607455482815609
2021-06-22,USD,0.8394500099619924
2021-06-23,EUR,1.0
2021-06-23,JPY,0.007571168883531009
2021-06-23,USD,0.8377500272388839
2021-06-24,EUR,1.0
2021-06-24,JPY,0.0075528704388146736
2021-06-24,USD,0.8380000063934326
2021-06-25,EUR,1.0
2021-06-25,JPY,0.007558178692984973
2021-06-25,USD,0.8381999631490533
2021-06-28,EUR,1.0
2021-06-28,JPY,0.0075571511283778195
2021-06-28,USD,0.8373699465471675
